Title,Place,Land Size,PublishDate,Price
Land With Small Cottage For Rent In Kumaripati 1st Lane,Lalitpur > Manbhawan (Kumaripati)  ,  Land Size (in aana/dhur): 10 A,22-12-2021,"Rs. 49,000"
"Land Sale At Kathmandu,kapan",Kathmandu > Kapan  ,  Land Size (in aana/dhur): 4.34,03-01-2022,"Rs. 19,85,000"
Landcruser Prado,, ,02-01-2022,"Rs. 36,50,000"
Budhanilkatha Ma 10 Aana Land Sale,Kathmandu > Budhanilkantha, ,02-01-2022,"Rs. 18,00,000"
5 Aana Land For Urgent Sale,Kathmandu > Thulo Bharyang  ,  Land Size (in aana/dhur): 5,06-01-2022,"Rs. 33,00,000"
"Land On Sale With House At Kathmandu ,balaju, Gijeshowri",Kathmandu > Balaju  ,  Land Size (in aana/dhur): 4 Aa,25-10-2021,"Rs. 1,20,00,000"
Land Rover Freelander2 2007 Is On Urgent Sell,, ,31-12-2021,"Rs. 64,00,000"
"8 Ana Land With House On Sale Near Jagati, 200m From Arniko Highway",Bhaktapur > Jagati  ,  Land Size (in aana/dhur): 8,12-11-2021,"Rs. 26,00,000"
Ring Road Gowarko Bata Only 5.5 Km Ma Aati Ramro Ploting Ko Land Bikri,Lalitpur > Sanagau (Mahalaxmi)  ,  Land Size (in aana/dhur): 3.5,06-01-2022,"Rs. 25,00,000"
Land For Sale Budhanilkantha-10 Aana Jagga Bikrima,Kathmandu > Budhanilkantha, ,31-12-2021,"Rs. 30,00,000"
Imadol 6 Anna Land For Sale,Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 6,25-11-2021,"Rs. 36,00,000"
Land For Sale At Budhanilkantha Golfutar,Kathmandu > Golfutar (Budhanilkantha)  ,  Land Size (in aana/dhur): 4,25-11-2021,"Rs. 30,00,000"
Land On Sell Urgent,Kathmandu > Satungal (Chandragiri)  ,  Land Size (in aana/dhur): 3.5,19-12-2021,"Rs. 24,00,000"
Landrover Diffender 1998 Model,, ,16-12-2021,"Rs. 15,00,000"
Land Rover Freelander 2 2007 Low Milage,, ,08-11-2021,"Rs. 65,00,000"
Land For Sale In Bhaisepati,Lalitpur > Bhaisepati / Sainbu  ,  Land Size (in aana/dhur): 7,18-08-2021,"Rs. 35,00,000"
"Land On Sale 19,00,000",Kathmandu > Ramkot (Nagarjun)  ,  Land Size (in aana/dhur): 6,26-12-2021,"Rs. 19,00,000"
"Attractive Plotted Lands Are For Sale Jharuwarasi, Lalitpur",Lalitpur > Jharuwarasi (Bajrabarahi), ,08-11-2021,"Rs. 17,00,000"
Land On Sale In Taukhel,Lalitpur > Taukhel (Godawari), ,05-12-2021,"Rs. 9,00,000"
Land At Golfutar,Kathmandu > Golfutar (Budhanilkantha)  ,  Land Size (in aana/dhur): 9,06-01-2022,"Rs. 18,00,000"
Toyota Land Cruiser 1996,, ,13-11-2021,"Rs. 36,00,000"
Land For Sale At Hattigauda - Khadka Bhadrakali - Near Euro School,Kathmandu > Khadka Bhadrakali (Budhanilkantha)  ,  Land Size (in aana/dhur): 5.93,02-01-2022,"Rs. 35,00,000"
Land Sale,Dhading > Dhunibeshi  ,  Land Size (in aana/dhur): 5.12,06-01-2022,"Rs. 3,50,000"
"18 Ropani Land For Sale At Nallu, Bhardeu",Lalitpur > Nallu (Konjyosom Rural)  ,  Land Size (in aana/dhur): 288,24-10-2021,"Rs. 1,80,000"
Commercial Cum Agricultural Land At Chitlang 4-9-0-0 ( 4ropani 9anna),Makwanpur > Thaha  ,  Land Size (in aana/dhur): 4900,03-01-2022,"Rs. 3,00,000"
House/land For Sale,Kathmandu > Tripureshwor  ,  Land Size (in aana/dhur): 2,20-11-2021,"Rs. 5,50,00,000"
3 Ropanis Of Land With 2 Houses In The Midst Of City,Kathmandu > Chundevi (Maharajgunj)  ,  Land Size (in aana/dhur): 48,07-10-2021,"Rs. 7,00,000"
7 Aana Land For Sale,Lalitpur > Hattiban  ,  Land Size (in aana/dhur): 7,03-01-2022,"Rs. 35,00,000"
Land In Syuchatar Height,Kathmandu > Syuchatar (Kalanki)  ,  Land Size (in aana/dhur): 3.5,06-01-2022,"Rs. 25,00,000"
"4 Ana Land Near Medicity Hospital, Nakhu",Lalitpur > Nakhu  ,  Land Size (in aana/dhur): 4,25-10-2021,"Rs. 35,25,000"
Land For Sale,Kavrepalanchok > Mandandeupur  ,  Land Size (in aana/dhur): 117,02-01-2022,"Rs. 2,00,000"
Imadol Land For Sale,Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 7.3,01-01-2022,"Rs. 30,00,000"
Plotted Land Sale At Tokha Panchetar,Kathmandu > Tokha, ,06-01-2022,"Rs. 25,00,000"
Toyota Land Cruiser Prado Tx-mt,, ,04-01-2022,"Rs. 2,83,00,000"
Cleveland Motorcycle Misfit For Sale,, ,08-09-2021,"Rs. 4,00,000"
"Land For Sale, Lubhu",Lalitpur > Lubhu (Mahalaxmi)  ,  Land Size (in aana/dhur): 7.75,09-12-2021,"Rs. 23,00,000"
3.2 Anna Land On Sell At Chunikhel,Kathmandu > Chunikhel (Budhanilkantha)  ,  Land Size (in aana/dhur): 3.2,29-12-2021,"Rs. 19,50,000"
Land At Kalanki,Kathmandu > Kalanki  ,  Land Size (in aana/dhur): 16,20-11-2021,"Rs. 34,00,000"
Land Cruiser Prado For Sale !,, ,31-12-2021,"Rs. 1,05,00,000"
Rohini Kavrey 5 Ropani Land For Sale 3km From Nagakot,Kavrepalanchok > Dhulikhel  ,  Land Size (in aana/dhur): 80,31-12-2021,"Rs. 1,56,250"
Land For Sale Only 13 Lakh,Lalitpur > Badikhel (Godawari), ,18-10-2021,"Rs. 13,00,000"
Land On Sale Sanogaun,Lalitpur > Sanagau (Mahalaxmi)  ,  Land Size (in aana/dhur): 5.1,18-11-2021,"Rs. 29,00,000"
Toyota Land Cruiser Prado,, ,09-09-2021,"Rs. 1,95,00,000"
Land In Chitwan 2 Kattha,Chitwan > Khairahani  ,  Land Size (in aana/dhur): 45 D,28-12-2020,"Rs. 1,30,000"
"Tokha, Nare Sapantirtha Tample, Land On Sell",Kathmandu > Tokha Saraswati (Tokha)  ,  Land Size (in aana/dhur): 8,30-12-2021,"Rs. 8,50,000"
Gokarna Greenhill City 3 Ana Plote Land Gokarneshwor,Kathmandu > Gokarna (Gokarneshwar)  ,  Land Size (in aana/dhur): 3aan,07-11-2021,"Rs. 26,00,000"
Land Sell,Lalitpur > Lubhu (Mahalaxmi)  ,  Land Size (in aana/dhur): 49,09-11-2021,"Rs. 2,50,000"
Land For Sale In Godavari Bistachaap,Lalitpur > Godawari  ,  Land Size (in aana/dhur): 4.5,05-10-2021,"Rs. 7,75,000"
Land On Sale Urgent,Kathmandu > Sitapaila (Nagarjun)  ,  Land Size (in aana/dhur): 3a,25-12-2021,"Rs. 22,00,000"
Land On Sale At Sallaghari Bhaktapur,Bhaktapur > Sallaghari  ,  Land Size (in aana/dhur): 4,05-01-2022,"Rs. 29,00,000"
Land Rovar,, ,14-12-2021,"Rs. 1,10,00,000"
"Switzerland Park, Nepal",Kathmandu > Thankot (Chandragiri), ,21-12-2021,"Rs. 11,00,000"
11 Aana Land Sale On Thimi,Bhaktapur > Madhyapur Thimi  ,  Land Size (in aana/dhur): 11,05-01-2022,"Rs. 22,50,000"
House Free With Land,Kathmandu > Syuchatar (Kalanki)  ,  Land Size (in aana/dhur): 6,20-10-2021,"Rs. 2,22,00,000"
Bhotebahal Area Land,Kathmandu > Bhote Bahal (Sundhara)  ,  Land Size (in aana/dhur): 4 An,13-12-2021,"Rs. 2,50,00,000"
Bhaktapur Suryabinayak Chitapol Land Sale,Bhaktapur > Chitapol (Suryabinayak)  ,  Land Size (in aana/dhur): 3.5,07-12-2021,"Rs. 17,00,000"
"Beautiful Land 8.5 Ana On Sale At Hollywood Heights, Chalnakhel !",Kathmandu > Chalnakhel (Dakshinkali)  ,  Land Size (in aana/dhur): 08.2,05-01-2022,"Rs. 25,00,000"
Land Sale For Planning At Palubari Rs 8lakh Per Aana,Kathmandu > Sankhu (Shankharapur)  ,  Land Size (in aana/dhur): 32,03-01-2022,"Rs. 8,00,000"
5 Aana Mileko Land,Bhaktapur > Madhyapur Thimi  ,  Land Size (in aana/dhur): 5,06-01-2022,"Rs. 27,00,000"
Land For Sale At Gwarko,Lalitpur > Gwarko, ,25-12-2021,"Rs. 70,00,000"
Land Sale,Lalitpur > Champi (Karyabinayak)  ,  Land Size (in aana/dhur): 42,19-12-2021,"Rs. 2,50,000"
Land Sale At Lokanthali (near Matribhumi School),Bhaktapur > Lokanthali  ,  Land Size (in aana/dhur): 6,12-12-2021,"Rs. 48,00,000"
Land On Sale At Kirtipur Warn No 4,Kathmandu > Kirtipur (Kritipur)  ,  Land Size (in aana/dhur): 4.15,09-12-2021,"Rs. 22,00,000"
Land On Sale At Taukhel Godawari (lalitpur),Lalitpur > Taukhel (Godawari)  ,  Land Size (in aana/dhur): 4,11-12-2021,"Rs. 12,50,000"
"Land On Sale Pokhara-27, Arghaunchowk, Kaski",Kaski (Pokhara) > Lekhnath (Outskirt), ,04-01-2022,"Rs. 21,25,000"
"Land For Sale At Taudaha, Kritipur",Kathmandu > Chobhar (Kirtipur)  ,  Land Size (in aana/dhur): 17.5,07-01-2022,"Rs. 16,00,000"
Land In Imadole(ochu Height),Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 3-1,26-12-2021,"Rs. 35,50,000"
Land On Sale At Shankhamul Baneshwor,Kathmandu > Shankhamul (New Baneshwor)  ,  Land Size (in aana/dhur): 7,02-01-2022,"Rs. 66,00,000"
Land At Kalanki,Kathmandu > Kalanki  ,  Land Size (in aana/dhur): 5.75,09-12-2021,"Rs. 37,00,000"
Land Sale In Pokhara 28 Prime Location,Kaski (Pokhara) > Airport Pokhara  ,  Land Size (in aana/dhur): 1,04-01-2022,"Rs. 45,00,000"
Commercial Land For Sale In Suryachaur,Kathmandu > Jhor Mahankal (Tokha)  ,  Land Size (in aana/dhur): 700,24-11-2021,"Rs. 2,50,000"
Land At Budanilkantha,Kathmandu > Khadka Bhadrakali (Budhanilkantha)  ,  Land Size (in aana/dhur): 4.06,31-12-2021,"Rs. 35,00,000"
Land Sale,Kathmandu > Swoyambhu  ,  Land Size (in aana/dhur): 4,02-01-2022,"Rs. 24,00,000"
Toyota Land Cruiser V8 Vxr On Sale,, ,06-10-2021,"Rs. 3,97,00,000"
"Land For Sale In Kathmandu, Chandragiri Municipality",Kathmandu > Baad Bhanjyang (Chandragiri)  ,  Land Size (in aana/dhur): 12,15-10-2021,"Rs. 8,00,000"
Land For Sale Sitapaila House Free,Kathmandu > Sitapaila (Nagarjun)  ,  Land Size (in aana/dhur): 12,08-11-2021,"Rs. 60,00,000"
Original Timberland Shoe,, ,29-12-2021,"Rs. 8,000"
Thaiba Land Sale,Lalitpur > Thaiba (Godawari)  ,  Land Size (in aana/dhur): 4-2,05-01-2022,"Rs. 15,00,000"
Mitsubishi Outlander 2016 7 Seater Fully Loaded Sunroof Single Owner,, ,22-12-2021,"Rs. 78,00,000"
Commercial Land And House On Sell At Sorkhutte Low,Kathmandu > Shorakhutte  ,  Land Size (in aana/dhur): 2.5,27-12-2021,"Rs. 2,50,00,000"
Commercial Land For Sale In Bhairahawa,Rupandehi (Bhairahawa) > Lumbini Eye Hospital, ,28-11-2021,"Rs. 8,00,000"
4aana Land Sale In Swayambhu,Kathmandu > Swoyambhu  ,  Land Size (in aana/dhur): 4,13-12-2021,"Rs. 30,00,000"
"70 Katthas Land On Sale / Jugedi, Chitwan",Chitwan (Bharatpur) > Aaptari  ,  Land Size (in aana/dhur): 1400,02-05-2021,"Rs. 99,000"
Land Sale At Bhaisepati,Lalitpur > Bhaisepati / Sainbu  ,  Land Size (in aana/dhur): 5,02-01-2022,"Rs. 40,00,000"
Land For Sale,Bhaktapur > Chitapol (Suryabinayak)  ,  Land Size (in aana/dhur): 21a,01-01-2022,"Rs. 5,00,000"
Toyota Land Cruiser Prado Tx-at,, ,04-01-2022,"Rs. 2,86,00,000"
Land Sale At Kapan Ram Mandir-lasuntar,Kathmandu > Kapan, ,02-12-2021,"Rs. 22,00,000"
Land Sale In Dhapakhel,Lalitpur > Dhapakhel  ,  Land Size (in aana/dhur): 10,28-12-2021,"Rs. 30,00,000"
Land In Sukhedhara For Sale,Kathmandu > Akasedhara (Kapan)  ,  Land Size (in aana/dhur): 5 An,05-12-2021,"Rs. 36,00,000"
20 Ropani Land In Pame,Kaski (Pokhara) > Pame  ,  Land Size (in aana/dhur): 320,23-12-2021,"Rs. 3,50,000"
Land And House On Sale,Kathmandu > Thali (Kageshwor)  ,  Land Size (in aana/dhur): 2.5,05-01-2022,"Rs. 58,000"
3 Aana 1 Paisa 2 Daam Land,Bhaktapur > Madhyapur Thimi  ,  Land Size (in aana/dhur): 3.1,05-12-2021,"Rs. 33,50,000"
"Land Cruiser Lj79 9841260134, 9841557350",, ,24-12-2021,"Rs. 25,00,000"
Chapagau Land On Sale,Lalitpur > Chapagaun (Bajrabarahi)  ,  Land Size (in aana/dhur): Aana,04-12-2021,"Rs. 11,00,000"
Residential Land For Sale In Kalanki,Kathmandu > Kalanki  ,  Land Size (in aana/dhur): 5 An,06-12-2021,"Rs. 30,00,000"
Land Chetwan,Chitwan (Bharatpur) > Rampur  ,  Land Size (in aana/dhur): 21.5,31-12-2021,"Rs. 65,00,000"
Land On Sale,Lalitpur > Jhamsikhel  ,  Land Size (in aana/dhur): 6,05-01-2022,"Rs. 65,00,000"
Land Is On Sale,Kathmandu > Min Bhawan (New Baneshwor), ,05-01-2022,"Rs. 1,00,00,000"
Commercial Land And Building For Sale At Lakeside Pokhara,Kaski (Pokhara) > Lakeside, ,19-10-2021,"Rs. 15,00,00,000"
Lalitpur Hatiban Ma Land On Sale.,Lalitpur > Hattiban, ,01-01-2022,"Rs. 42,50,000"
House Free- Land For Sale At Mandikatar,Kathmandu > Mandikatar (Dhumbarahi)  ,  Land Size (in aana/dhur): 6.78,05-12-2021,"Rs. 43,00,000"
"Land At Chunikel, Budhananilkantha",Kathmandu > Chunikhel (Budhanilkantha)  ,  Land Size (in aana/dhur): 7.2,01-01-2022,"Rs. 22,90,000"
"Godawari ,thaiba Land For Sale",Lalitpur > Thaiba (Godawari)  ,  Land Size (in aana/dhur): 75,07-01-2022,"Rs. 32,00,000"
How Much Land Does A Man Need? & Other Stories By Leo Tolstoy,, ,28-12-2021,Rs. 900
How Fund Managers Are Making You Rich By Pravin Palande,, ,28-12-2021,"Rs. 1,060"
Hard-boiled Wonderland And The End Of The World By Haruki Murakami,, ,28-12-2021,"Rs. 1,060"
"England, England By Julian Barnes",, ,28-12-2021,Rs. 820
A Promised Land By Barack Obama,, ,27-12-2021,"Rs. 2,980"
Treasure Island Robert Louis Stevenson,, ,26-12-2021,Rs. 419
The Land Of Moonlit Snows & Other Real Travel Stories From The Indian,, ,26-12-2021,Rs. 739
The Island Of Missing Trees Elif Shafak,, ,26-12-2021,"Rs. 1,219"
The Cross In The Land Of Khukuri Norma Kehrberg,, ,25-12-2021,Rs. 450
The Armchair Economist Steven E Landsburg,, ,25-12-2021,"Rs. 1,059"
The Adventures Of Tintin Land Of Black Gold Herg,, ,25-12-2021,Rs. 980
The Adventures Of Tintin In The Land Of Soviets (hardcover),, ,25-12-2021,"Rs. 1,052"
Textbook On Administrative Law Peter Leyland,, ,25-12-2021,"Rs. 5,285"
Key Words 11a - Mystery On The Island None,, ,23-12-2021,Rs. 220
Key Words 10a - Adventure On The Island None,, ,23-12-2021,Rs. 220
Just Send Me Word Orlando Figes,, ,23-12-2021,Rs. 899
Jesus And The Forgiveness Of Sins Tobias Hgerland,, ,23-12-2021,"Rs. 3,586"
Island Of The Blue Dolphin Scott O'dell,, ,23-12-2021,Rs. 660
Island Of Infinity Anuradha Majumdar,, ,23-12-2021,Rs. 500
How Fund Managers Are Making You Rich Pravin Palande,, ,23-12-2021,"Rs. 1,059"
Classic Tales - Treasure Island Geronimo Stilton,, ,22-12-2021,Rs. 660
Classic Tales - Alice In Wonderland Geronimo Stilton,, ,22-12-2021,Rs. 660
All Set To Read: Level 3: Off To Candyland,, ,21-12-2021,Rs. 259
Alice's Adventures In Wonderland Lewis Carroll,, ,21-12-2021,Rs. 419
A Promised Land Barack Obama,, ,21-12-2021,"Rs. 3,299"
A Peacock In The Land Of Penguins B J Gallagher,, ,21-12-2021,Rs. 460
Land On Sales For House,Bhaktapur > Chyamasing  ,  Land Size (in aana/dhur): 4,19-11-2021,"Rs. 15,00,000"
10 Dhur Residential Land In Janakpur On Sale,Dhanusha (Janakpur) > Zero Mile  ,  Land Size (in aana/dhur): 10,23-12-2021,"Rs. 4,10,000"
Land For Rent Suitable For Commercial Or Any Other Purpose,Bhaktapur > Dadhikot (Ananta), ,04-01-2022,"Rs. 40,000"
Land Sell 9841012036 Dayaram Shrestha,Sindhuli > Sindhuli (Other Area)  ,  Land Size (in aana/dhur): 56,03-01-2022,"Rs. 3,00,000"
7 Aana Land In Dhapasi,Kathmandu > Hepali Height (Budhanilkantha)  ,  Land Size (in aana/dhur): 7,04-01-2022,"Rs. 43,00,000"
Land For Sale At Bhaisepati,Lalitpur > Bhaisepati / Sainbu, ,25-12-2021,"Rs. 28,00,000"
27.5 Aana Land For Sale,Kathmandu > Swoyambhu  ,  Land Size (in aana/dhur): 27.5,28-12-2021,"Rs. 16,50,000"
3.2.+ Land Kalimati,Kathmandu > Kalimati  ,  Land Size (in aana/dhur): 3.2,07-01-2022,"Rs. 30,00,000"
Land For Sale At Balaju Area Manamaiju-8,Kathmandu > Manamaiju (Tarkeshwar)  ,  Land Size (in aana/dhur): 3.2,06-01-2022,"Rs. 35,00,000"
Land For Sale At Kalanki,Kathmandu > Syuchatar (Kalanki)  ,  Land Size (in aana/dhur): 6.5,05-01-2022,"Rs. 46,00,000"
"Land For Sale In Sudal , Bhaktapur.",Bhaktapur > Sudal  ,  Land Size (in aana/dhur): 32,12-12-2021,"Rs. 5,50,000"
Land Sell On Kavresthali,Kathmandu > Kavresthali (Tarkeshwar), ,21-11-2021,"Rs. 13,50,000"
Land For Sale At Hetauda,Makwanpur (Hetauda) > Hetauda (Other Area)  ,  Land Size (in aana/dhur): 170,18-12-2021,"Rs. 3,50,000"
Land Sale At Hepali Hight,Kathmandu > Hepali Height (Budhanilkantha)  ,  Land Size (in aana/dhur): 5 Aa,29-12-2021,"Rs. 35,00,000"
"House And Land, Chapali Chowk Main Road",Kathmandu > Budhanilkantha  ,  Land Size (in aana/dhur): 12 A,05-01-2022,"Rs. 10,50,00,000"
Land On Sale At Simali Budhanilakantha-1,Kathmandu > Budhanilkantha  ,  Land Size (in aana/dhur): 4.5,31-12-2021,"Rs. 23,00,000"
Land At Goldhunga,Kathmandu > Goldhunga (Tarkeshwar)  ,  Land Size (in aana/dhur): 5,19-12-2021,"Rs. 21,00,000"
Lalitpur Godawari Badikhel Bazar Land - 4 Aana & 5 Aana On Sale,Lalitpur > Badikhel (Godawari)  ,  Land Size (in aana/dhur): 4,06-01-2022,"Rs. 14,00,000"
Land On Sale At Naghdhunga Thankot,Kathmandu > Thankot (Chandragiri)  ,  Land Size (in aana/dhur): 24,01-01-2022,"Rs. 7,00,000"
Land Rover Defender 110 Td5,, ,17-11-2021,"Rs. 45,00,000"
Land For Sale At Chamati,Kathmandu > Chamati (Swayambhu), ,29-12-2021,"Rs. 49,00,000"
Land For Sale,Bhaktapur > Nikosera  ,  Land Size (in aana/dhur): 5.75,06-01-2022,"Rs. 1,11,11,11,111"
Need Commercial Land More Then 1 Ropani,Kathmandu > Gongabu (Tokha)  ,  Land Size (in aana/dhur): 16,21-12-2021,"Rs. 1,00,000"
Land For Sale ; 17aana,Kathmandu > Bhangal (Budhanilkantha)  ,  Land Size (in aana/dhur): 17,16-12-2021,"Rs. 32,00,000"
Land For Sale In Gothatar,Kathmandu > Gothatar (Kageshwor), ,19-11-2021,"Rs. 37,00,000"
Chitlang Land Sale Urgent,Makwanpur > Thaha, ,26-10-2021,"Rs. 7,00,000"
Land For Sale Near Kumaripati,Lalitpur > Kumaripati  ,  Land Size (in aana/dhur): 13,26-10-2021,"Rs. 65,00,000"
Hattigaunda Land Sale,Kathmandu > Hattigaunda (Budhanilkantha)  ,  Land Size (in aana/dhur): 26.2,29-12-2021,"Rs. 45,00,000"
"Land Sale At Chobhar Bhutkhe,l Kirtipur",Kathmandu > Chobhar (Kirtipur)  ,  Land Size (in aana/dhur): 4.31,27-12-2021,"Rs. 26,00,000"
Land On Rent,Kathmandu > Italitar (Budhanilkantha), ,06-12-2021,"Rs. 18,000"
Prime Piece Of Land For Sale In Taukhel Godawari,Lalitpur > Taukhel (Godawari)  ,  Land Size (in aana/dhur): 4,30-11-2021,"Rs. 27,00,000"
Land For Sale,Kavrepalanchok > Panchkhal, ,27-11-2021,"Rs. 1,50,000"
Urgent Sale Land,Nawalpur > Kawasoti  ,  Land Size (in aana/dhur): 9:75,21-11-2021,"Rs. 2,00,000"
Land Near Sundarijal 22 Ft Road To Dhakal Gaun,Kathmandu > Sundarijal (Gokarneshwar)  ,  Land Size (in aana/dhur): 5,17-11-2021,"Rs. 25,00,000"
